id,sex,group,exp,exp_date,latency,1st_prey,unpalatable_50,total_50,palatable_50,unpalatable_consumed,total_consumed,palatable_consumed,population,pc1,1st_prey2,percent_unpalatable_50,percent_unpalatable_consumed
111,f,Y,1,07-25-2022,39,P,3,4,1,2,6,4,PT,0.6413449598390825,1,0.75,0.3333333333333333
111,f,Y,2,07-26-2022,18,U,3,4,1,3,6,3,PT,0.6413449598390825,0,0.75,0.5
111,f,Y,3,07-27-2022,15,U,2,4,2,3,7,4,PT,0.6413449598390825,0,0.5,0.42857142857142855
111,f,Y,4,07-28-2022,31,P,1,4,3,4,7,3,PT,0.6413449598390825,1,0.25,0.5714285714285714
111,f,Y,5,07-29-2022,7,U,2,4,2,4,7,3,PT,0.6413449598390825,0,0.5,0.5714285714285714
112,m,R,1,07-25-2022,6,P,0,4,4,1,5,4,PT,4.8303513901833615,1,0,0.2
112,m,R,2,07-26-2022,4,U,2,4,2,1,5,4,PT,4.8303513901833615,0,0.5,0.2
112,m,R,5,07-29-2022,0,P,1,4,3,4,8,4,PT,4.8303513901833615,1,0.25,0.5
112,m,R,3,07-27-2022,5,P,0,4,4,2,6,4,PT,4.8303513901833615,1,0,0.3333333333333333
112,m,R,4,07-28-2022,1,P,0,4,4,3,7,4,PT,4.8303513901833615,1,0,0.42857142857142855
114,f,R,1,08-04-2022,0,P,0,4,4,1,5,4,PT,1.7365132312956002,1,0,0.2
114,f,R,4,08-07-2022,0,P,1,3,2,0,4,4,PT,1.7365132312956002,1,0.3333333333333333,0
114,f,R,5,08-08-2022,5,P,0,3,3,0,4,4,PT,1.7365132312956002,1,0,0
116,m,R,5,08-08-2022,8,P,1,4,3,4,8,4,PT,0.08002531942763305,1,0.25,0.5
116,m,R,2,08-05-2022,4,U,1,3,2,3,6,3,PT,0.08002531942763305,0,0.3333333333333333,0.5
116,m,R,1,08-04-2022,0,U,2,4,2,4,8,4,PT,0.08002531942763305,0,0.5,0.5
116,m,R,3,08-06-2022,5,P,2,4,2,4,8,4,PT,0.08002531942763305,1,0.5,0.5
116,m,R,4,08-07-2022,20,P,0,4,4,4,8,4,PT,0.08002531942763305,1,0,0.5
117,f,R,2,08-23-2022,0,U,2,4,2,4,8,4,PT,4.8303513901833615,0,0.5,0.5
117,f,R,3,08-24-2022,0,P,1,4,3,4,8,4,PT,4.8303513901833615,1,0.25,0.5
117,f,R,1,08-22-2022,0,U,2,4,2,3,7,4,PT,4.8303513901833615,0,0.5,0.42857142857142855
117,f,R,4,08-25-2022,0,U,2,4,2,4,8,4,PT,4.8303513901833615,0,0.5,0.5
117,f,R,5,08-26-2022,0,P,0,2,2,0,4,4,PT,4.8303513901833615,1,0,0
119,m,Y,1,08-22-2022,0,U,2,4,2,4,8,4,PT,3.01340761034802,0,0.5,0.5
119,m,Y,3,08-24-2022,23,U,1,4,3,4,8,4,PT,3.01340761034802,0,0.25,0.5
119,m,Y,4,08-25-2022,2,P,2,4,2,4,8,4,PT,3.01340761034802,1,0.5,0.5
119,m,Y,5,08-26-2022,0,P,0,4,4,4,8,4,PT,3.01340761034802,1,0,0.5
119,m,Y,2,08-23-2022,0,U,2,4,2,4,8,4,PT,3.01340761034802,0,0.5,0.5
120,f,R,5,09-02-2022,72,P,1,4,3,1,5,4,PT,-0.08073212503765628,1,0.25,0.2
120,f,R,4,09-01-2022,39,P,1,4,3,2,6,4,PT,-0.08073212503765628,1,0.25,0.3333333333333333
120,f,R,3,08-31-2022,28,P,2,4,2,1,5,4,PT,-0.08073212503765628,1,0.5,0.2
120,f,R,1,08-29-2022,100,P,1,4,3,0,4,4,PT,-0.08073212503765628,1,0.25,0
