id,sex,population,exp,1stMove,cross,percent_visible,moving_bouts,percent_moving,percent_novel,pc1,pc2
2,m,Shou,1,169,221,0.38,0.013036393,0.350353069,0.680608365,-0.41725646992126897,-0.10801208370558163
2,m,Shou,2,80,95,1,0.01523395,0.249183896,0.799238303,-1.2849307349944215,-1.3619470855424072
3,j,Shou,1,127,705,0.42,0.013114754,0.303825137,0.280874317,0.5451988223234241,0.35808762001294686
3,j,Shou,2,185,233,0.75,0.025260846,0.528281164,0.332784185,-0.9971493590062692,0.9572126063773969
5,f,Shou,1,1227,2000,0.004,0.00109529,0.011500548,0,4.172334215424737,0.4898923970805634
5,f,Shou,2,210,274,0.74,0.040348964,0.47655398,0.643947655,-1.5181375592058566,0.6919146461486232
6,f,Shou,1,187,245,0.48,0.018062397,0.187739464,0.297755884,0.40304467943616484,-0.11287933177862491
6,f,Shou,2,107,109,0.79,0.037663755,0.408296943,0.566593886,-1.433696014851484,0.36911558557099294
7,f,Shou,1,315,1112,0.63,0.015200869,0.219326819,0.127035831,1.1244062745694552,0.2304523998757319
7,f,Shou,2,115,237,0.96,0.041349293,0.49945593,0.658868335,-1.986590123950731,0.49102437923494596
10,m,Shou,1,933,2000,0.002,0.001091107,0.003273322,0,3.966180118326226,0.36586865824898573
10,m,Shou,2,199,201,1,0.027247956,0.28719346,0.810899183,-1.4355518578460194,-0.8882657906795819
14,f,Shou,1,478,720,0.88,0.028384279,0.241812227,0.459606987,-0.09439503889275352,-0.17254699143256372
14,f,Shou,2,323,339,0.81,0.02892562,0.164256198,0.69214876,-0.5416188125524453,-0.8403333336333157
16,f,Shou,1,354,752,0.94,0.018619934,0.17196057,0.400876232,0.18775552506388216,-0.6812163575950786
16,f,Shou,2,292,296,0.97,0.024045262,0.262376238,0.60466761,-0.8355858389352391,-0.664710631899231
18,f,Shou,1,90,107,0.44,0.022925764,0.264737991,0.262554585,0.0548071061860316,0.32932353314082236
18,f,Shou,2,187,201,0.71,0.031857451,0.397408207,0.47462203,-0.9485287566651477,0.46077377000127095
19,m,Shou,1,568,736,1,0.009879254,0.057628979,0.601536773,0.4129174129849925,-1.6185208056762699
19,m,Shou,2,245,2000,0,0.004856989,0.010253643,0,3.349635380762243,0.2610801769225598
22,m,Shou,1,520,674,0.69,0.025862069,0.167145594,0.486590038,0.3369709974841883,-0.3299669659837941
22,m,Shou,2,45,219,0.41,0.02970297,0.230551627,0.293493635,0.06264317046547788,0.36210589560707757
23,f,Shou,1,243,1110,0.92,0.024711697,0.271279517,0.355848435,0.07497556731275196,-0.04339466480155241
23,f,Shou,2,110,114,0.96,0.050471436,0.377703827,0.758735441,-2.05684429863333,0.0875378907574677
24,f,Shou,1,2000,2000,0,0,0,0,4.8303513901833615,0.6773361137185931
24,f,Shou,2,278,731,0.4,0.0292366,0.202490525,0.241472658,0.7615057296647262,0.5116967599970839
26,f,Shou,1,1086,2000,0.94,0.002081165,0.008844953,0,2.9012850437832056,-0.601881903126236
